Date,output
2014-09-04,-0.011765874987578195
2014-09-05,-0.019544799095833842
2014-09-08,-0.0005647847001771789
2014-09-09,0.006823663209082564
2014-09-10,-0.02041796319772582
2014-09-11,-0.010378649635036541
2014-09-12,0.0027256266082149594
2014-09-15,0.02346767586126175
2014-09-16,0.00029270006049131325
2014-09-17,-0.022153106395970124
2014-09-18,0.020404984423675998
2014-09-19,-0.012896158059618412
2014-09-22,0.017741178311556416
2014-09-23,0.028093389908902644
2014-09-24,0.04569541994364301
2014-09-25,-0.027624987220120745
2014-09-26,-0.0018165489651793543
2014-09-29,0.0016355235719833772
2014-09-30,0.00922277013225492
2014-10-01,0.024066091954022983
2014-10-07,-0.01860031104199067
2014-10-08,-0.02754532072351845
2014-10-09,0.011565763707571897
2014-10-10,-0.013780200768472528
2014-10-13,-0.01509777892254971
2014-10-14,0.02317142393772298
2014-10-16,-0.022007216780998484
2014-10-17,-0.018505905933176248
2014-10-20,-0.00568852427297184
2014-10-21,0.003455975148043855
2014-10-22,-0.001279789028717726
2014-10-23,-0.007410116252213439
2014-10-27,-0.022188764467864774
2014-10-28,0.004917257683215048
2014-10-29,0.0021796815769521416
2014-10-30,-0.023975136895071802
2014-10-31,-0.00758229451614667
2014-11-03,-0.021010819943204417
2014-11-05,0.014366453965360071
2014-11-07,0.0010950903449533644
2014-11-10,-0.00031017935665145213
2014-11-11,-0.00207570874528884
2014-11-12,0.009837090427683659
2014-11-13,-0.024588840863030592
2014-11-14,-0.05194518125552605
2014-11-17,-0.0017482814223882537
2014-11-18,0.012111321078852377
2014-11-19,8.796364860316391
2014-11-20,-0.02749590834697213
2014-11-21,-0.010846689331390769
2014-11-24,0.014452291016587404
2014-11-25,-0.0058775510204082115
2014-11-26,0.0013078306359326497
2014-11-27,-0.0483820784069694
2014-11-28,0.005632040050062459
2014-12-01,0.002823972387825613
2014-12-02,0.002358861456203787
2014-12-03,-0.007336871682797397
2014-12-04,0.008660053534876422
2014-12-05,0.014860977948226273
2014-12-08,0.020714402218235062
2014-12-09,-0.029751542965659072
2014-12-10,0.006049992039484087
2014-12-11,0.008671912638509749
2014-12-12,0.002576074706166498
2014-12-15,0.050575101488497864
2014-12-16,-0.020381110190554996
2014-12-17,-0.017421035493324744
2014-12-18,0.009699161597895856
2014-12-19,-0.01153721156971077
2014-12-22,0.0016276041666667407
2014-12-23,0.004742436631234526
2014-12-24,-0.006175849179262061
2014-12-26,0.00032515038205160884
2014-12-29,-0.007102502017756196
2014-12-30,-0.006734006734006814
2014-12-31,-0.006847133757961754
2015-01-01,-0.003965107057890549
2015-01-02,0.007993605115907298
2015-01-05,0.04284761587195729
2015-01-06,-0.0008329168748958393
2015-01-07,-0.015417418402493221
2015-01-08,0.005441952506596515
2015-01-09,-0.012699446434386252
2015-01-12,0.006555227794165841
2015-01-13,0.0013127666557271045
2015-01-14,-0.048704339681548636
2015-01-15,0.015374861309240817
2015-01-16,0.007344722976209583
2015-01-19,-0.01571585730001568
2015-01-20,-0.02467811158798283
2015-01-21,0.004774372401047389
2015-01-22,-0.008550923805161093
2015-01-23,-0.007877594303893454
2015-01-27,-0.013598326359832713
2015-01-28,0.023241590214067243
2015-01-29,0.058423693154232126
2015-01-30,0.004715447154471475
2015-02-02,0.02397602397602383
2015-02-03,0.024739805493942946
2015-02-04,0.007737276478679611
2015-02-05,0.0017223561832586665
2015-02-06,0.03864042933810374
2015-02-09,-0.02714932126696834
2015-02-10,0.004721105088302258
2015-02-11,0.005803728455856305
2015-02-12,-0.07379051962860395
2015-02-13,0.0008151287903488402
2015-02-16,0.003271180896303516
2015-02-18,0.011079874317843519
2015-02-19,0.00016539861065179018
2015-02-20,0.019389647614230343
2015-02-23,0.0010126582278482399
2015-02-24,0.002368465572661016
2015-02-25,0.02125086385625452
2015-02-26,-0.03501167055685228
2015-02-27,-0.005801425493121126
2015-02-28,-0.0011589403973510937
2015-03-02,-0.001982815598149501
2015-03-03,0.029777097158414145
2015-03-04,0.00017018379850242127
2015-03-05,0.010837777395493076
2015-03-09,0.010605006954102825
2015-03-10,0.008591969139049693
2015-03-11,-0.00592644239149398
2015-03-12,0.02172751558325925
2015-03-13,-0.003195455352387633
2015-03-16,-0.0051218650653480635
2015-03-17,-0.01461886529759826
2015-03-18,0.020241477272727293
2015-03-19,0.012039532794249963
2015-03-20,0.01273885350318471
2015-03-23,0.015523932729624823
2015-03-24,0.019404672192916417
2015-03-25,0.034093122930060504
2015-03-26,-0.026365705614567747
2015-03-27,-0.01605076521089943
2015-03-30,0.003182924545965138
2015-03-31,-0.023404644359114934
2015-04-01,-0.0043691971600218205
2015-04-06,0.009557066715677243
2015-04-07,-0.00675428988681992
2015-04-08,-0.024746305857219264
2015-04-09,-0.017147856517935156
2015-04-10,-0.0019210618232623489
2015-04-13,-0.012758620689655165
2015-04-15,-0.008207934336525224
2015-04-16,0.002227934875749682
2015-04-17,0.01425343299148274
2015-04-20,-0.005359612724758045
2015-04-21,0.01884798308965996
2015-04-22,0.022330271925085743
2015-04-23,0.007621121393576402
2015-04-24,0.03182924545965182
2015-04-27,-0.019999999999999907
2015-04-28,0.002206693637366808
2015-04-29,0.007970342910101902
2015-04-30,-0.026700342774670704
2015-05-04,0.018746553942289967
2015-05-05,0.025056518462697852
2015-05-06,0.017053075301781906
2015-05-07,-0.0038175224279443087
2015-05-08,-0.05107770331461703
2015-05-11,0.03234854151084532
2015-05-12,-0.025154939846883106
2015-05-13,-0.023669692116034757
2015-05-14,-0.02261262828317967
2015-05-15,-0.00793787748058672
